incidentId,machineId,machineType,incidentType,incidentDate,severity
001,029,Carregadeira,Desgaste dos pneus,2023-02-03,Baixa
002,071,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2020-02-11,Baixa
003,058,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2021-07-02,Baixa
004,027,Perfuratriz,Desgaste da broca,2024-08-06,Baixa
005,109,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2016-08-19,Média
006,008,Carregadeira,Desgaste dos pneus,2024-12-02,Baixa
007,056,Britador Primário,Desgaste das mandíbulas,2023-03-09,Baixa
008,130,Perfuratriz,Desgaste da broca,2023-12-08,Baixa
009,144,Caminhão Fora de Estrada,Falha no sistema de transmissão,2024-11-05,Alta
010,140,Britador Primário,Rompimento de correias,2024-05-23,Crítica
011,057,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2018-09-03,Crítica
012,072,Carregadeira,Desgaste dos pneus,2024-05-12,Baixa
013,041,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2023-09-30,Crítica
014,088,Escavadeira Hidráulica,Falha no sistema de rotação,2024-01-12,Alta
015,040,Caminhão Fora de Estrada,Falha no sistema de transmissão,2018-12-21,Alta
016,087,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2022-06-26,Baixa
017,024,Caminhão Fora de Estrada,Quebra do eixo traseiro,2020-11-22,Crítica
018,025,Caminhão Fora de Estrada,Vazamento de óleo do motor,2016-10-05,Média
019,089,Caminhão Fora de Estrada,Vazamento de óleo do motor,2024-10-29,Média
020,012,Carregadeira,Danos na caçamba de carga,2016-03-05,Crítica
021,138,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2024-04-16,Baixa
022,097,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2024-08-21,Baixa
023,142,Perfuratriz,Vazamento de combustível,2018-01-11,Média
024,093,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-06-07,Baixa
025,018,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2024-09-27,Baixa
026,059,Caminhão Fora de Estrada,Vazamento de óleo do motor,2020-11-05,Média
027,021,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2022-07-09,Baixa
028,026,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2020-03-23,Crítica
029,072,Carregadeira,Danos na caçamba de carga,2024-04-02,Crítica
030,094,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2023-09-25,Baixa
031,095,Caminhão Fora de Estrada,Vazamento de óleo do motor,2022-09-23,Média
032,054,Escavadeira Hidráulica,Falha no sistema de rotação,2021-06-01,Alta
033,019,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2020-02-02,Baixa
034,137,Britador Primário,Desgaste das mandíbulas,2021-03-14,Baixa
035,042,Caminhão Fora de Estrada,Quebra do eixo traseiro,2024-12-16,Crítica
036,098,Caminhão Fora de Estrada,Vazamento de óleo do motor,2024-01-21,Média
037,143,Carregadeira,Falha no sistema hidráulico,2024-07-25,Média
038,084,Carregadeira,Desgaste dos pneus,2024-08-30,Baixa
039,059,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2022-01-17,Baixa
040,081,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2021-10-07,Crítica
041,069,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2024-05-11,Média
042,055,Escavadeira Hidráulica,Falha no sistema de rotação,2024-07-21,Alta
043,055,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2021-05-17,Crítica
044,102,Perfuratriz,Quebra do motor de perfuração,2024-12-19,Crítica
045,037,Escavadeira Hidráulica,Falha no sistema de rotação,2024-10-22,Alta
046,036,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2019-07-11,Baixa
047,144,Caminhão Fora de Estrada,Vazamento de óleo do motor,2024-11-16,Média
048,150,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2021-08-30,Crítica
049,150,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2023-03-02,Crítica
050,093,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2020-02-22,Baixa
051,036,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2017-11-03,Crítica
052,024,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2021-08-25,Baixa
053,029,Carregadeira,Falha no sistema hidráulico,2023-02-08,Média
054,041,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2024-05-15,Crítica
055,017,Caminhão Fora de Estrada,Quebra do eixo traseiro,2016-12-26,Crítica
056,098,Caminhão Fora de Estrada,Quebra do eixo traseiro,2022-10-28,Crítica
057,136,Caminhão Fora de Estrada,Vazamento de óleo do motor,2016-12-05,Média
058,142,Perfuratriz,Desgaste da broca,2019-12-30,Baixa
059,030,Perfuratriz,Vazamento de combustível,2022-03-18,Média
060,088,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2019-09-01,Média
061,076,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2022-08-08,Crítica
062,041,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2024-05-19,Crítica
063,001,Perfuratriz,Vazamento de combustível,2022-08-13,Média
064,129,Caminhão Fora de Estrada,Falha no sistema de transmissão,2024-01-23,Alta
